학교명,학교급,구,동,학생수,lat,lon,_지표1_원,_지표2_원,_지표3_원,_지표4_원,_지표5_원,영향사업수,영향사업목록,지표1_임박도,지표2_학생유입,지표3_수용여석,지표4_외곽성,지표5_트램접근성,종합점수,순위,점수설명
대전배울초등학교,초,유성구,관평동,568,36.4218889,127.3841009,0.0,0.0,568,6319.605148867345,4107.7799385247645,0,,0.0,0.0,0.3512836568566061,0.5136555562648044,0.0,0.1637,122,임박도=0.000 | 학생유입=0.000 | 수용여석=0.078 | 외곽성=0.086
대전신계중학교,중,서구,복수동,536,36.3019711,127.3774180,0.8,71.2,536,2643.5044220065242,699.2744474221188,1,복수동2(2_관리처분),0.15094339622641512,0.016214615927671882,0.3312460864120225,0.21181303395028844,0.0,0.1637,122,임박도=0.050 | 학생유입=0.005 | 수용여석=0.074 | 외곽성=0.035
대전중촌초등학교,초,중구,중촌동,262,36.3412467,127.4110600,0.65,980.64,262,1906.6971858314869,1642.3166916500916,5,삼성3(5_초기); 삼성5(4_조합설립); 삼성7(5_초기); 용문동4(6_입안); 중촌시영(9_미정),0.12264150943396228,0.22332445173191226,0.1596743894802755,0.15131421437181153,0.0,0.1636,124,임박도=0.041 | 학생유입=0.062 | 수용여석=0.035 | 외곽성=0.025
흥도초등학교,초,유성구,원신흥동,772,36.3341902,127.3387326,0.0,0.0,772,4231.761141413204,580.6934060500442,0,,0.0,0.0,0.47902316844082654,0.3422238822618563,0.0,0.1635,125,임박도=0.000 | 학생유입=0.000 | 수용여석=0.106 | 외곽성=0.057
대전내동중학교,중,서구,변동,498,36.3323785,127.3704150,0.65,521.4399999999999,498,1543.8279728531509,2273.197670678475,4,변동A(4_조합설립); 내동1(5_초기); 내동2(4_조합설립); 도마동1(6_입안),0.12264150943396228,0.11874928833321945,0.30745147150907953,0.12151923141191967,0.0,0.1624,126,임박도=0.041 | 학생유입=0.033 | 수용여석=0.068 | 외곽성=0.020
대전두리초등학교,초,유성구,구즉동,491,36.4288090,127.3820834,0.0,0.0,491,6960.643488647919,4671.946701510399,0,,0.0,0.0,0.3030682529743269,0.5662908466870312,0.0,0.1617,127,임박도=0.000 | 학생유입=0.000 | 수용여석=0.067 | 외곽성=0.094
신탄진중학교,중,대덕구,석봉동,409,36.4475861,127.4225837,0.25,150.24,409,5837.579008079847,4826.0045675465235,2,덕암동1(5_초기); 신탄진동1(6_입안),0.04716981132075472,0.034214661474345834,0.2517219787100814,0.47407666630302814,0.0,0.1602,128,임박도=0.016 | 학생유입=0.010 | 수용여석=0.056 | 외곽성=0.079
동대전중학교,중,동구,가양2동,140,36.3451364,127.4559046,1.5,493.84000000000003,140,1242.9418832261047,879.8224041674214,5,가양동1(4_조합설립); 자양동2(4_조합설립); 가양동3(6_입안); 가양동8(6_입안); 가양동7(1_공사중),0.2830188679245283,0.11246384732754891,0.08328115216030056,0.09681364716098584,0.0,0.1602,128,임박도=0.094 | 학생유입=0.031 | 수용여석=0.019 | 외곽성=0.016
신탄진용정초등학교,초,대덕구,신탄진동,384,36.4540033,127.4358676,0.05,205.92,384,6697.582203983428,5631.910262958138,1,신탄진동1(6_입안),0.009433962264150945,0.046894855503176874,0.23606762680025048,0.5446910354777686,0.0,0.1594,130,임박도=0.003 | 학생유입=0.013 | 수용여석=0.052 | 외곽성=0.091
대전갑천중학교,중,서구,월평3동,731,36.3619688,127.3691739,0.0,0.0,731,4339.580212391753,1096.9502227076362,0,,0.0,0.0,0.4533500313087038,0.35107684434202324,0.0,0.1593,131,임박도=0.000 | 학생유입=0.000 | 수용여석=0.101 | 외곽성=0.059
대전두리중학교,중,유성구,구즉동,468,36.4288090,127.3820834,0.0,0.0,468,6960.643488647919,4671.946701510399,0,,0.0,0.0,0.2886662492172824,0.5662908466870312,0.0,0.1585,132,임박도=0.000 | 학생유입=0.000 | 수용여석=0.064 | 외곽성=0.094
대전구봉초등학교,초,서구,관저2동,586,36.2997236,127.3301054,0.0,0.0,586,5669.676915551322,386.30795645274304,0,,0.0,0.0,0.3625547902316844,0.4602903217830364,0.22738408709451396,0.1573,133,임박도=0.000 | 학생유입=0.000 | 수용여석=0.081 | 외곽성=0.077
서대전초등학교,초,중구,용두동,214,36.3259585,127.4104400,1.1500000000000001,751.32,214,686.8330362040617,699.2241713179454,7,용두동3(4_조합설립); 태평동2(4_조합설립); 오류동1(3_사업시행); 문화동2(9_미정); 문화동6(5_초기); 태평동3(6_입안); 오류동삼성(9_미정),0.21698113207547173,0.17110063537610165,0.12961803381340012,0.051151868679227185,0.0,0.1572,134,임박도=0.072 | 학생유입=0.048 | 수용여석=0.029 | 외곽성=0.009
진잠초등학교,초,유성구,진잠동,287,36.2991072,127.3151578,0.0,0.0,287,8638.295663584728,1370.9473338040973,0,,0.0,0.0,0.17532874139010646,0.7040419045808624,0.0,0.1563,135,임박도=0.000 | 학생유입=0.000 | 수용여석=0.039 | 외곽성=0.117
대전장대중학교,중,유성구,온천2동,230,36.3605249,127.3387996,1.2000000000000002,406.96000000000004,230,1793.5431524785809,752.7169423659977,3,장대A(5_초기); 장대B(2_관리처분); 장대C(5_초기),0.22641509433962267,0.09267837216187289,0.13963681903569192,0.14202320159086737,0.0,0.1559,136,임박도=0.075 | 학생유입=0.026 | 수용여석=0.031 | 외곽성=0.024
신탄진초등학교,초,대덕구,석봉동,263,36.4494593,127.4223133,0.25,338.03999999999996,263,6044.321723632793,5034.4790412157645,2,덕암동1(5_초기); 신탄진동1(6_입안),0.04716981132075472,0.07698298831727812,0.16030056355666875,0.4910521921031448,0.0,0.1546,137,임박도=0.016 | 학생유입=0.021 | 수용여석=0.036 | 외곽성=0.082
대전샘머리초등학교,초,서구,둔산2동,700,36.3632745,127.3933215,0.0,0.0,700,4310.621273283564,847.4312848517991,0,,0.0,0.0,0.4339386349405135,0.34869904246078026,0.0,0.1545,138,임박도=0.000 | 학생유입=0.000 | 수용여석=0.096 | 외곽성=0.058
대전상원초등학교,초,유성구,상대동,746,36.3424244,127.3333047,0.0,0.0,746,3625.5685145981565,988.935380896723,0,,0.0,0.0,0.4627426424546024,0.2924497533460346,0.0,0.1516,139,임박도=0.000 | 학생유입=0.000 | 수용여석=0.103 | 외곽성=0.049
기성초등학교길헌분교장,초,서구,기성동,7,36.2417680,127.3164705,0.0,0.0,7,11095.333189298992,4757.56457814167,0,,0.0,0.0,0.0,0.9057878466231871,0.0,0.151,140,임박도=0.000 | 학생유입=0.000 | 수용여석=0.000 | 외곽성=0.151
대전백운초등학교,초,서구,괴정동,664,36.3405387,127.3850093,0.2,349.74,664,1723.567424227948,1658.9932834431145,1,내동2(4_조합설립),0.03773584905660378,0.07964746874359499,0.4113963681903569,0.13627753467765338,0.0,0.1488,141,임박도=0.013 | 학생유입=0.022 | 수용여석=0.091 | 외곽성=0.023
대전관평초등학교,초,유성구,관평동,414,36.4245116,127.3876376,0.0,0.0,414,6717.623201869712,3990.22937383368,0,,0.0,0.0,0.2548528490920476,0.5463365903200217,0.0,0.1477,142,임박도=0.000 | 학생유입=0.000 | 수용여석=0.057 | 외곽성=0.091
대전노은중학교,중,유성구,노은1동,803,36.3699880,127.3243216,0.0,0.0,803,2752.0053588376254,1748.4124445686566,0,,0.0,0.0,0.49843456480901693,0.22072198364453532,0.0,0.1475,143,임박도=0.000 | 학생유입=0.000 | 수용여석=0.111 | 외곽성=0.037
대전서부초등학교,초,서구,변동,404,36.3333627,127.3690371,0.45,648.9,404,1706.7690665350476,2192.957842787664,3,내동1(5_초기); 내동2(4_조합설립); 도마동1(6_입안),0.0849056603773585,0.14777618364418937,0.2485911083281152,0.13489823116191527,0.0,0.1471,144,임박도=0.028 | 학생유입=0.041 | 수용여석=0.055 | 외곽성=0.022
진잠중학교,중,유성구,진잠동,209,36.2969898,127.3184051,0.0,0.0,209,8738.998999828018,1045.338095222918,0,,0.0,0.0,0.12648716343143393,0.7123105977630316,0.0,0.1468,145,임박도=0.000 | 학생유입=0.000 | 수용여석=0.028 | 외곽성=0.119
대전송강중학교,중,유성구,구즉동,292,36.4376479,127.3816676,0.0,0.0,292,7875.446879540446,5333.336086141791,0,,0.0,0.0,0.17845961177207265,0.6414048284425499,0.0,0.1466,146,임박도=0.000 | 학생유입=0.000 | 수용여석=0.040 | 외곽성=0.107
대전매봉초등학교,초,대덕구,송촌동,465,36.3695187,127.4372248,0.5,119.88,465,3221.093244459998,1024.462792321296,1,법동2(3_사업시행),0.09433962264150944,0.027300676368108217,0.2867877269881027,0.2592385208952299,0.0,0.146,147,임박도=0.031 | 학생유입=0.008 | 수용여석=0.064 | 외곽성=0.043
대전교촌초등학교,초,유성구,진잠동,279,36.3060020,127.3167901,0.0,0.0,279,7883.540655990726,1606.5442949077983,0,,0.0,0.0,0.17031934877896054,0.6420694037848279,0.0,0.1449,148,임박도=0.000 | 학생유입=0.000 | 수용여석=0.038 | 외곽성=0.107
대전느리울초등학교,초,서구,관저2동,591,36.2985384,127.3439214,0.0,0.0,591,4713.1866667726035,298.0099430142405,0,,0.0,0.0,0.3656856606136506,0.3817534560353047,0.403980113971519,0.1449,148,임박도=0.000 | 학생유입=0.000 | 수용여석=0.081 | 외곽성=0.064
외삼초등학교,초,유성구,노은3동,580,36.3928996,127.3105126,0.0,0.0,580,4730.042741095394,4038.0733410598145,0,,0.0,0.0,0.35879774577332496,0.3831374986304207,0.0,0.1436,150,임박도=0.000 | 학생유입=0.000 | 수용여석=0.080 | 외곽성=0.064
대덕초등학교,초,유성구,신성동,641,36.3850882,127.3817273,0.2,47.339999999999996,641,2923.730839444278,1170.5375284526885,1,도룡동2(5_초기),0.03773584905660378,0.010780897724943634,0.3969943644333125,0.2348222643667798,0.0,0.1429,151,임박도=0.013 | 학생유입=0.003 | 수용여석=0.088 | 외곽성=0.039
대전송강초등학교,초,유성구,구즉동,289,36.4342453,127.3842040,0.0,0.0,289,7592.142099179046,4908.438476459072,0,,0.0,0.0,0.17658108954289292,0.6181428354119431,0.0,0.1423,152,임박도=0.000 | 학생유입=0.000 | 수용여석=0.039 | 외곽성=0.103
