학교급,설립,구,학교명,주소,구분,학생수합계,lon,lat,동,최근접_사업,최근접_거리m,영향권,_원_도심거리m,_원_학생수,_원_학교밀도,적격성_도심거리,적격성_학교규모,적격성_학교밀도,적격성점수,전체순위,적격성순위,현행운영여부,미운영순위,slope_300m_mean
초,공립,서구,기성초등학교길헌분교장,대전광역시 서구 당고개길 48(평촌동. 기성초등학교 길헌분교장),분교장,7,127.3164705,36.241768,기성동,정림동1,8662.578061985647,1.5km 초과,13509.344183861653,7.0,0,0.9212850116753004,1.0,1.0,0.9764,2,2,Y,,8.445597648620605
초,공립,서구,대전가장초등학교,대전광역시 서구 가장로 150(가장동. 대전가장초등학교),본교,493,127.3887528,36.3305,가장동,가장동1,108.01606401351415,1km 이내,2240.0788610164414,493.0,16,0.1363602204985128,0.6956793988728867,0.1999999999999999,0.28,229,229,,214.0,1.5154697895050049
초,공립,서구,대전갈마초등학교,대전광역시 서구 월평동로 2(갈마동. 갈마초등학교),본교,233,127.3693227,36.3559583,갈마1동,내동2,2505.8947599289204,1.5km 초과,1494.835751672466,233.0,10,0.084452684805665,0.8584846587351284,0.5,0.447,186,186,,171.0,3.8057475090026855
초,공립,서구,대전갑천초등학교,대전광역시 서구 월평동로 61(월평동. 대전갑천초등학교),본교,426,127.3676786,36.3608614,월평3동,도룡동2,2536.7977975130784,1.5km 초과,1903.763199513856,426.0,10,0.1129352240314183,0.7376330619912336,0.5,0.4314,194,194,,179.0,1.022899508476257
초,공립,서구,대전관저초등학교,대전광역시 서구 관저동로 161(관저동. 관저초등학교),본교,331,127.3398901,36.3065734,관저1동,정림동1,2533.3835212543745,1.5km 초과,6297.851999380375,331.0,11,0.4189914872250417,0.7971195992485911,0.4499999999999999,0.5101,155,155,,141.0,2.56880521774292
초,공립,서구,대전구봉초등학교,대전광역시 서구 관저로 75대전구봉초등학교,본교,586,127.3301054,36.2997236,관저2동,정림동1,3522.933369893157,1.5km 초과,7445.332289836801,586.0,9,0.4989155729185525,0.6374452097683156,0.55,0.5522,125,125,,112.0,2.1584651470184326
초,공립,서구,대전금동초등학교,대전광역시 서구 관저로 45(관저동.대전금동초등학교),본교,672,127.3262661,36.2981969,관저2동,정림동1,3900.023790363752,1.5km 초과,7800.61452796388,672.0,9,0.5236616258848795,0.5835942391984972,0.55,0.5488,130,130,,117.0,1.6164432764053345
초,공립,서구,대전내동초등학교,대전광역시 서구 동서대로1063번길 13(내동.내동초등학교),본교,705,127.3792468,36.3311179,내동,변동A,362.9111311560592,1km 이내,2190.128061317703,705.0,14,0.1328810566045575,0.5629304946775204,0.3,0.3025,223,223,,208.0,2.316295623779297
초,공립,서구,대전느리울초등학교,대전광역시 서구 관저로 196(관저동. 대전느리울초등학교),본교,591,127.3439214,36.2985384,관저2동,정림동1,2396.85073582542,1.5km 초과,6808.626054427571,591.0,9,0.4545678275640781,0.6343143393863494,0.55,0.5382,137,137,,124.0,5.5866289138793945
초,공립,서구,대전도마초등학교,대전광역시 서구 배재로172번길 23(도마동.도마초등학교),본교,451,127.3719168,36.3242933,도마1동,도마동1,114.45341600266912,1km 이내,3108.1750037355587,451.0,10,0.1968246930283994,0.7219787100814026,0.5,0.4534,182,182,,167.0,5.509891986846924
초,공립,서구,대전도솔초등학교,대전광역시 서구 원도안로 80. 대전도솔초등학교 (도안동),본교,1141,127.3475014,36.3111845,도안동,정림동1,1885.563696176688,1.5km 초과,5472.427089217033,1141.0,9,0.3614991435201993,0.2899185973700688,0.55,0.4414,190,190,,175.0,5.476590156555176
초,공립,서구,대전도안초등학교,대전광역시 서구 원도안로 200(도안동. 도안초등학교),본교,934,127.344685,36.3217137,도안동,도마동1,2434.964145451308,1.5km 초과,4784.557709174817,934.0,5,0.3135877922458622,0.4195366311834689,0.75,0.553,122,122,,109.0,4.77357816696167
초,공립,서구,대전둔산초등학교,대전광역시 서구 둔산로74번길 20(둔산동.둔산초등학교),본교,407,127.3814036,36.3499471,둔산2동,내동2,1770.502485039349,1.5km 초과,282.3377862625501,407.0,15,0.0,0.7495303694427051,0.25,0.2749,230,230,,215.0,1.558323621749878
초,공립,서구,대전둔원초등학교,대전광역시 서구 대덕대로 112-10(갈마동),본교,540,127.3742794,36.3436193,,내동2,1067.6118747674386,1~1.5km,1186.0756591956524,540.0,9,0.0629469837534601,0.6662492172824045,0.55,0.4271,197,197,,182.0,5.136187076568604
초,공립,서구,대전둔천초등학교,대전광역시 서구 만년로 3. 대전둔천초등학교 (만년동),본교,194,127.3740023,36.3684922,만년동,도룡동2,1581.9105215337809,1.5km 초과,2216.828221098005,194.0,9,0.1347407712123461,0.8829054477144647,0.55,0.492,168,168,,154.0,2.049538373947144
초,공립,서구,대전만년초등학교,대전광역시 서구 만년남로 14(만년동. 만년초등학교),본교,159,127.3773117,36.3671306,만년동,도룡동2,1720.6831695652654,1.5km 초과,1964.649295120244,159.0,9,0.1171760511403986,0.904821540388228,0.55,0.4911,170,170,,155.0,1.4581283330917358
초,공립,서구,대전문정초등학교,대전광역시 서구 문정로 180. 문정초등학교 (둔산동),본교,460,127.3958379,36.3505437,둔산3동,용문동4,1042.977080898721,1~1.5km,1017.443535502736,460.0,13,0.051201450155362,0.7163431433938635,0.35,0.3336,219,219,,204.0,1.947413802146912
초,공립,서구,대전백운초등학교,대전광역시 서구 계룡로576번길 56(괴정동. 대전백운초등학교),본교,664,127.3850093,36.3405387,괴정동,내동2,972.6436410155972,1km 이내,1094.78130597151,664.0,14,0.0565881662895735,0.588603631809643,0.3,0.2847,228,228,,213.0,3.4532389640808105
초,공립,서구,대전변동초등학교,대전광역시 서구 유등로 373(변동) 대전변동초등학교,본교,152,127.3857104,36.3250319,변동,도마·변동2,190.6917781986028,1km 이내,2815.951668574172,152.0,15,0.1764708071487629,0.9092047589229806,0.25,0.3598,215,215,,200.0,1.95647394657135
초,공립,서구,대전복수초등학교,대전광역시 서구 복수중로34번길 29(복수동.대전복수초등학교),본교,702,127.3768451,36.3082137,복수동,복수동2,222.2851796090205,1km 이내,4729.5097914159,702.0,11,0.3097536048242525,0.5648090169067,0.4499999999999999,0.4309,195,195,,180.0,6.699957847595215
