학교명,학교급,구,동,학생수,lat,lon,_지표1_원,_지표2_원,_지표3_원,_지표4_원,_지표5_원,영향사업수,영향사업목록,지표1_임박도,지표2_학생유입,지표3_수용여석,지표4_외곽성,지표5_트램접근성,종합점수,순위,점수설명
대전가장초등학교,초,서구,가장동,493,36.3305000,127.3887528,3.0500000000000003,2491.56,493,696.8721636845928,1515.0658840883336,10,도마·변동1(1_공사중); 도마·변동2(4_조합설립); 도마·변동3(2_관리처분); 변동A(4_조합설립); 가장동1(6_입안); 태평동5(2_관리처분); 태평동6(9_미정); 태평동7(9_미정); 태평동8(9_미정); 삼부4(9_미정),0.5754716981132076,0.5674113547858167,0.30432060112711334,0.051976175678874637,0.0,0.4257,11,임박도=0.192 | 학생유입=0.158 | 수용여석=0.068 | 외곽성=0.009
대전동서초등학교,초,동구,삼성동,152,36.3410683,127.4225243,3.65,2133.9,152,2555.931958376296,1395.15467250807,10,삼성1(3_사업시행); 삼성3(5_초기); 삼성5(4_조합설립); 삼성6(4_조합설립); 삼성7(5_초기); 선화2(2_관리처분); 은행1(3_사업시행); 홍도동3(6_입안); 삼성동1(3_사업시행); 홍도동2(3_사업시행),0.6886792452830188,0.485960237753638,0.09079524107701942,0.20462250918737837,0.0,0.4188,12,임박도=0.230 | 학생유입=0.135 | 수용여석=0.020 | 외곽성=0.034
대전버드내초등학교,초,중구,태평2동,630,36.3194287,127.3915009,2.5,2201.58,630,2457.516875479947,312.43380503586087,12,산성동2(3_사업시행); 유천동1(5_초기); 유천동3(4_조합설립); 도마·변동2(4_조합설립); 도마·변동5(3_사업시행); 도마·변동6(2_관리처분); 유천동2(6_입안); 유천동2(중복)(6_입안); 태평동6(9_미정); 태평동7(9_미정); 태평동8(9_미정); 삼부4(9_미정),0.4716981132075472,0.5013732322197171,0.39010644959298685,0.19654170317513583,0.37513238992827824,0.4159,13,임박도=0.157 | 학생유입=0.139 | 수용여석=0.087 | 외곽성=0.033
한밭중학교,중,동구,삼성동,74,36.3351481,127.4264779,5.0,981.52,74,2111.0512447222895,741.9679225986098,10,중앙1(2_관리처분); 대전역복합2(3_사업시행); 대전역삼성4(2_관리처분); 삼성1(3_사업시행); 삼성3(5_초기); 삼성6(4_조합설립); 선화1-A(5_초기); 선화2(2_관리처분); 은행1(3_사업시행); 삼성동1(3_사업시행),0.9433962264150944,0.22352485709731046,0.041953663118346904,0.16809360894337502,0.0,0.4139,14,임박도=0.314 | 학생유입=0.062 | 수용여석=0.009 | 외곽성=0.028
대전선화초등학교,초,중구,은행선화동,701,36.3326733,127.4234663,2.9,1651.8600000000001,701,982.4048942324765,900.5613569793775,7,삼성1(3_사업시행); 삼성3(5_초기); 삼성6(4_조합설립); 선화1-A(5_초기); 선화2(2_관리처분); 은행1(3_사업시행); 삼성동1(3_사업시행),0.5471698113207547,0.37618364418938305,0.4345648090169067,0.07542110442148886,0.0,0.396,15,임박도=0.182 | 학생유입=0.105 | 수용여석=0.097 | 외곽성=0.013
대전흥룡초등학교,초,동구,가양2동,288,36.3451544,127.4480505,3.25,2171.88,288,1139.841459264404,175.10498872722627,9,성남동1(1_공사중); 성남동3(4_조합설립); 가양동1(4_조합설립); 자양동2(4_조합설립); 가양동3(6_입안); 가양동8(6_입안); 비래동1(6_입안); 가양동5(3_사업시행); 가양동7(1_공사중),0.6132075471698113,0.4946095511375282,0.1759549154664997,0.08834813048106872,0.6497900225455475,0.3956,16,임박도=0.204 | 학생유입=0.137 | 수용여석=0.039 | 외곽성=0.015
대전복수초등학교,초,서구,복수동,702,36.3082137,127.3768451,3.0,1161.54,702,2000.6801844478116,620.7679254220541,5,도마·변동9(1_공사중); 도마·변동12(3_사업시행); 도마·변동13(3_사업시행); 복수동2(2_관리처분); 정림동1(5_초기),0.5660377358490566,0.2645214183234269,0.43519098309329995,0.15903110448577146,0.0,0.3854,17,임박도=0.189 | 학생유입=0.073 | 수용여석=0.097 | 외곽성=0.027
대전삼육초등학교,초,서구,도마2동,511,36.3115181,127.3727877,3.2,1361.34,511,1854.184716313095,701.0170679481339,6,도마·변동6-1(4_조합설립); 도마·변동9(1_공사중); 도마·변동12(3_사업시행); 도마·변동13(3_사업시행); 복수동2(2_관리처분); 정림동1(5_초기),0.6037735849056605,0.31002254560360726,0.31559173450219163,0.14700244561733267,0.0,0.382,18,임박도=0.201 | 학생유입=0.086 | 수용여석=0.070 | 외곽성=0.025
대전천동초등학교,초,동구,효동,951,36.3161208,127.4451593,1.85,1531.0799999999997,951,2138.6918368931388,924.6999845614455,6,판암6(5_초기); 신흥동5(5_초기); 문창동2(4_조합설립); 문창석교1(5_초기); 석교동(6_입안); 가오동2(1_공사중),0.34905660377358494,0.3486780077884811,0.5911083281152161,0.17036316211370953,0.0,0.3729,19,임박도=0.116 | 학생유입=0.097 | 수용여석=0.131 | 외곽성=0.028
대전글꽃중학교,중,중구,문화1동,890,36.3186225,127.4086577,2.95,444.8800000000001,890,1097.0881511368902,341.3875532277379,11,대사동3(9_미정); 문화동5(9_미정); 문화동7(9_미정); 문화동8(1_공사중); 문화2(1_공사중); 오류동1(3_사업시행); 유천동1(5_초기); 문화동2(9_미정); 문화동6(5_초기); 태평동3(6_입안); 오류동삼성(9_미정),0.5566037735849058,0.1013140215435768,0.5529117094552286,0.08483768087118593,0.3172248935445242,0.3507,20,임박도=0.186 | 학생유입=0.028 | 수용여석=0.123 | 외곽성=0.014
대전오류초등학교,초,중구,오류동,249,36.3249660,127.4047562,3.15,1573.1999999999998,249,1188.7225755807146,503.0205736222874,11,용두동3(4_조합설립); 문화2(1_공사중); 태평동2(4_조합설립); 오류동1(3_사업시행); 유천동1(5_초기); 문화동2(9_미정); 문화동6(5_초기); 태평동3(6_입안); 태평동5(2_관리처분); 태평동6(9_미정); 오류동삼성(9_미정),0.5943396226415094,0.3582701373232219,0.15153412648716344,0.0923617309068285,0.0,0.3467,21,임박도=0.198 | 학생유입=0.100 | 수용여석=0.034 | 외곽성=0.015
대전중앙초등학교,초,중구,은행선화동,1082,36.3307172,127.4141355,1.7000000000000002,1207.62,1082,722.8138502525175,967.6736795583529,5,용두동3(4_조합설립); 선화1-A(5_초기); 선화2(2_관리처분); 은행1(3_사업시행); 오류동삼성(9_미정),0.3207547169811321,0.27501537200245946,0.6731371321227301,0.05410623268453281,0.0,0.3419,22,임박도=0.107 | 학생유입=0.076 | 수용여석=0.150 | 외곽성=0.009
대전신흥초등학교,초,동구,신인동,1026,36.3256406,127.4399239,1.6,1244.52,1026,1376.799768264932,445.18428927743435,5,대동4·8(3_사업시행); 대전역복합2(3_사업시행); 신안1(5_초기); 신흥동5(5_초기); 문창동2(4_조합설립),0.30188679245283023,0.2834187333469973,0.6380713838447089,0.10780464132950222,0.10963142144513127,0.3391,23,임박도=0.101 | 학생유입=0.079 | 수용여석=0.142 | 외곽성=0.018
충남여자중학교,중,중구,목동,1006,36.3301968,127.4109427,2.5,424.0,1006,856.4416470099,1023.4656284501643,6,용두동3(4_조합설립); 용두동2(2_관리처분); 태평동2(4_조합설립); 선화2(2_관리처분); 오류동1(3_사업시행); 오류동삼성(9_미정),0.4716981132075472,0.09655894878276514,0.6255479023168441,0.06507833443622317,0.0,0.3339,24,임박도=0.157 | 학생유입=0.027 | 수용여석=0.139 | 외곽성=0.011
대전글꽃초등학교,초,중구,문화1동,770,36.3186639,127.4097377,2.45,944.8199999999999,770,1021.7344097673641,391.48743096775377,10,대사동3(9_미정); 문화동5(9_미정); 문화동7(9_미정); 문화동8(1_공사중); 문화2(1_공사중); 유천동1(5_초기); 문화동2(9_미정); 문화동6(5_초기); 태평동3(6_입안); 오류동삼성(9_미정),0.4622641509433963,0.21516704242672677,0.4777708202880401,0.07865042838525191,0.21702513806449242,0.3331,25,임박도=0.154 | 학생유입=0.060 | 수용여석=0.106 | 외곽성=0.013
대전보성초등학교,초,중구,문화2동,190,36.3066382,127.3964886,2.1,2128.14,190,2806.5931046010364,1228.354483615427,8,문화동8(1_공사중); 산성동1(4_조합설립); 산성동2(3_사업시행); 유천동3(4_조합설립); 산성동3(6_입안); 유천동2(6_입안); 문화동10(6_입안); 유천동2(중복)(6_입안),0.39622641509433965,0.4846484935437589,0.11458985597996243,0.22520415214125164,0.0,0.3297,26,임박도=0.132 | 학생유입=0.135 | 수용여석=0.025 | 외곽성=0.038
보문중학교,중,동구,삼성동,248,36.3365961,127.4239609,3.3000000000000003,895.2,248,2343.55026973292,1018.9896378632077,9,삼성1(3_사업시행); 삼성3(5_초기); 삼성5(4_조합설립); 삼성6(4_조합설립); 삼성7(5_초기); 선화1-A(5_초기); 선화2(2_관리처분); 은행1(3_사업시행); 삼성동1(3_사업시행),0.6226415094339623,0.20386691261870601,0.1509079524107702,0.18718397054094812,0.0,0.3289,27,임박도=0.208 | 학생유입=0.057 | 수용여석=0.034 | 외곽성=0.031
대전원평초등학교,초,중구,유천2동,257,36.3216702,127.3999032,2.95,1214.82,257,1665.800673009372,484.2595797793969,15,문화동5(9_미정); 문화동7(9_미정); 문화2(1_공사중); 태평동2(4_조합설립); 오류동1(3_사업시행); 유천동1(5_초기); 문화동2(9_미정); 문화동6(5_초기); 태평동3(6_입안); 태평동5(2_관리처분); 태평동6(9_미정); 태평동7(9_미정); 태평동8(9_미정); 삼부4(9_미정); 오류동삼성(9_미정),0.5566037735849058,0.2766550522648083,0.15654351909830932,0.13153433986628055,0.03148084044120614,0.3191,28,임박도=0.186 | 학생유입=0.077 | 수용여석=0.035 | 외곽성=0.022
대전동문초등학교,초,중구,문화1동,186,36.3140992,127.4070326,2.55,1583.28,186,1559.2138953430485,170.0543287965746,10,문화동5(9_미정); 문화동7(9_미정); 문화동8(1_공사중); 문화2(1_공사중); 유천동1(5_초기); 유천동2(6_입안); 문화동10(6_입안); 유천동2(중복)(6_입안); 문화동2(9_미정); 문화동6(5_초기),0.4811320754716981,0.36056568969051034,0.11208515967438948,0.12278256068321855,0.6598913424068509,0.3059,29,임박도=0.160 | 학생유입=0.100 | 수용여석=0.025 | 외곽성=0.020
대전도마초등학교,초,서구,도마1동,451,36.3242933,127.3719168,1.4000000000000001,2156.04,451,1176.9209319172016,1566.012797875816,7,도마·변동4(3_사업시행); 도마·변동6-1(4_조합설립); 도마·변동16(4_조합설립); 변동A(4_조합설립); 내동1(5_초기); 변동B(6_입안); 도마동1(6_입안),0.26415094339622647,0.4910022545603607,0.27802128991859737,0.09139270471425902,0.0,0.3015,30,임박도=0.088 | 학생유입=0.136 | 수용여석=0.062 | 외곽성=0.015
