학교급,설립,구,학교명,주소,구분,학생수합계,lon,lat,동
초,공립,중구,대전보성초등학교,대전광역시 중구 보문산로141번길 34(문화동. 대전보성초등학교),본교,190,127.3964886,36.3066382,문화2동
초,공립,중구,대전보운초등학교,대전광역시 중구 대종로315번길 42(부사동.대전보운초등학교),본교,115,127.4318082,36.3143908,부사동
초,공립,중구,대전산성초등학교,대전광역시 중구 대둔산로 332(사정동.산성초등학교),본교,327,127.3854134,36.2990113,산성동
초,공립,중구,대전석교초등학교,대전광역시 중구 대종로204번길 12(석교동.대전석교초등학교),본교,163,127.4462254,36.3086634,석교동
초,공립,중구,대전선화초등학교,대전광역시 중구 선화로 159(선화동. 대전선화초등학교),본교,701,127.4234663,36.3326733,은행선화동
초,공립,중구,대전신평초등학교,대전광역시 중구 유등천동로 478. 대전신평초등학교 (태평동.대전신평초등학교),본교,314,127.3897213,36.3234302,태평2동
초,공립,중구,대전오류초등학교,대전광역시 중구 오류로 46(오류동),본교,249,127.4047562,36.3249660,오류동
초,공립,중구,대전옥계초등학교,대전광역시 중구 모암로 35. 대전옥계초등학교 (옥계동. 대전옥계초등학교),본교,109,127.4483618,36.3009946,석교동
초,공립,중구,대전원평초등학교,대전광역시 중구 계백로1615번길 46. 대전원평초등학교 (유천동),본교,257,127.3999032,36.3216702,유천2동
초,공립,중구,대전유평초등학교,대전광역시 중구 수침로 123(태평동),본교,215,127.3974668,36.3300035,태평1동
초,공립,중구,대전중앙초등학교,대전광역시 중구 선화로43번길 99(선화동. 대전중앙초등학교),본교,1082,127.4141355,36.3307172,은행선화동
초,공립,중구,대전중촌초등학교,대전광역시 중구 대종로 684(중촌동.대전중촌초등학교),본교,262,127.4110600,36.3412467,중촌동
초,공립,중구,대전태평초등학교,대전광역시 중구 유천로 117(태평동. 대전태평초등학교),본교,415,127.3950265,36.3229254,태평2동
초,공립,중구,산서초등학교,대전광역시 중구 남달미로 87(목달동. 산서초등학교),본교,57,127.4093374,36.2668849,산성동
초,공립,중구,서대전초등학교,대전광역시 중구 선화로 17(용두동.서대전초등학교),본교,214,127.4104400,36.3259585,용두동
초,사립,중구,대전성모초등학교,대전광역시 중구 대흥로 62(대흥동. 대전성모초등학교),본교,658,127.4193093,36.3224600,대흥동
초,공립,서구,가수원초등학교,대전광역시 서구 벌곡로 1359(가수원동. 가수원초등학교),본교,258,127.3533137,36.3031409,가수원동
초,공립,서구,기성초등학교,대전광역시 서구 기성초교길 42(매노동),본교,33,127.3380289,36.2487568,기성동
초,공립,서구,기성초등학교길헌분교장,대전광역시 서구 당고개길 48(평촌동. 기성초등학교 길헌분교장),분교장,7,127.3164705,36.2417680,기성동
초,공립,서구,대전가장초등학교,대전광역시 서구 가장로 150(가장동. 대전가장초등학교),본교,493,127.3887528,36.3305000,가장동
초,공립,서구,대전갈마초등학교,대전광역시 서구 월평동로 2(갈마동. 갈마초등학교),본교,233,127.3693227,36.3559583,갈마1동
초,공립,서구,대전갑천초등학교,대전광역시 서구 월평동로 61(월평동. 대전갑천초등학교),본교,426,127.3676786,36.3608614,월평3동
초,공립,서구,대전관저초등학교,대전광역시 서구 관저동로 161(관저동. 관저초등학교),본교,331,127.3398901,36.3065734,관저1동
초,공립,서구,대전구봉초등학교,대전광역시 서구 관저로 75대전구봉초등학교,본교,586,127.3301054,36.2997236,관저2동
초,공립,서구,대전금동초등학교,대전광역시 서구 관저로 45(관저동.대전금동초등학교),본교,672,127.3262661,36.2981969,관저2동
초,공립,서구,대전내동초등학교,대전광역시 서구 동서대로1063번길 13(내동.내동초등학교),본교,705,127.3792468,36.3311179,내동
초,공립,서구,대전느리울초등학교,대전광역시 서구 관저로 196(관저동. 대전느리울초등학교),본교,591,127.3439214,36.2985384,관저2동
초,공립,서구,대전도마초등학교,대전광역시 서구 배재로172번길 23(도마동.도마초등학교),본교,451,127.3719168,36.3242933,도마1동
초,공립,서구,대전도솔초등학교,대전광역시 서구 원도안로 80. 대전도솔초등학교 (도안동),본교,1141,127.3475014,36.3111845,도안동
초,공립,서구,대전도안초등학교,대전광역시 서구 원도안로 200(도안동. 도안초등학교),본교,934,127.3446850,36.3217137,도안동
초,공립,서구,대전둔산초등학교,대전광역시 서구 둔산로74번길 20(둔산동.둔산초등학교),본교,407,127.3814036,36.3499471,둔산2동
초,공립,서구,대전둔원초등학교,대전광역시 서구 대덕대로 112-10(갈마동),본교,540,127.3742794,36.3436193,
초,공립,서구,대전둔천초등학교,대전광역시 서구 만년로 3. 대전둔천초등학교 (만년동),본교,194,127.3740023,36.3684922,만년동
초,공립,서구,대전만년초등학교,대전광역시 서구 만년남로 14(만년동. 만년초등학교),본교,159,127.3773117,36.3671306,만년동
초,공립,서구,대전문정초등학교,대전광역시 서구 문정로 180. 문정초등학교 (둔산동),본교,460,127.3958379,36.3505437,둔산3동
초,공립,서구,대전백운초등학교,대전광역시 서구 계룡로576번길 56(괴정동. 대전백운초등학교),본교,664,127.3850093,36.3405387,괴정동
초,공립,서구,대전변동초등학교,대전광역시 서구 유등로 373(변동) 대전변동초등학교,본교,152,127.3857104,36.3250319,변동
초,공립,서구,대전복수초등학교,대전광역시 서구 복수중로34번길 29(복수동.대전복수초등학교),본교,702,127.3768451,36.3082137,복수동
초,공립,서구,대전봉산초등학교,대전광역시 서구 신갈마로141번길 45. 대전봉산초등학교 (갈마동),본교,368,127.3659116,36.3451704,갈마1동
초,공립,서구,대전삼천초등학교,대전광역시 서구 둔산북로 232-33. 대전삼천초등학교 (둔산동),본교,631,127.4012153,36.3539594,둔산3동
초,공립,서구,대전샘머리초등학교,대전광역시 서구 유등로 879(둔산동),본교,700,127.3933215,36.3632745,둔산2동
초,공립,서구,대전서부초등학교,대전광역시 서구 동서대로 968(변동),본교,404,127.3690371,36.3333627,변동
초,공립,서구,대전서원초등학교,대전광역시 서구 문정로 279(둔산동. 서원초등학교),본교,585,127.3943323,36.3593773,둔산2동
초,공립,서구,대전선암초등학교,대전광역시 서구 관저중로 61(관저동),본교,401,127.3340098,36.2975283,관저2동
초,공립,서구,대전선유초등학교,대전광역시 서구 관저남로 60(관저동),본교,835,127.3412350,36.2949457,관저2동
초,공립,서구,대전성룡초등학교,대전광역시 서구 갈마역로 125(월평동. 성룡초등학교),본교,854,127.3735199,36.3619376,월평3동
초,공립,서구,대전성천초등학교,대전광역시 서구 갈마역로 139(월평동. 성천초등학교),본교,29,127.3734766,36.3631631,월평2동
초,공립,서구,대전수미초등학교,대전광역시 서구 괴곡길 42(괴곡동. 대전수미초등학교),본교,61,127.3615389,36.2953352,정림동
초,공립,서구,대전신계초등학교,대전광역시 서구 복수동로 26(복수동. 신계초등학교),본교,617,127.3778077,36.3019821,복수동
초,공립,서구,대전원앙초등학교,대전광역시 서구 관저북로 97. 대전원앙초등학교 (관저동),본교,224,127.3378000,36.3114556,관저1동
초,공립,서구,대전월평초등학교,대전광역시 서구 월평서로 22(월평동.월평초등학교),본교,110,127.3581040,36.3557995,월평1동
초,공립,서구,대전유천초등학교,대전광역시 서구 제비네6길 69(도마동),본교,485,127.3754395,36.3141096,도마2동
초,공립,서구,대전정림초등학교,대전광역시 서구 정림로 32(정림동)대전정림초등학교,본교,444,127.3665373,36.3036623,정림동
초,공립,서구,대전탄방초등학교,대전광역시 서구 탄방로 15(탄방동. 대전탄방초등학교),본교,602,127.3911856,36.3456534,탄방동
초,공립,서구,대전탄방초등학교용문분교장,대전광역시 서구 도솔로 500,분교장,493,127.3975163,36.3409359,용문동
초,공립,서구,대전호수초등학교,대전광역시 서구 도안동로 182-20(도안동),본교,897,127.3502082,36.3204731,도안동
초,공립,서구,한밭초등학교,대전광역시 서구 문정로 221(둔산동),본교,1604,127.3941584,36.3545007,둔산1동
초,사립,서구,대전삼육초등학교,대전광역시 서구 도림1길 15. 대전삼육초등학교 (도마동),본교,511,127.3727877,36.3115181,도마2동
초,공립,유성구,구즉초등학교,대전광역시 유성구 구룡달전로 34(봉산동),본교,418,127.3822122,36.4407059,구즉동
초,공립,유성구,금성초등학교,대전광역시 유성구 신성로72번길 5(신성동. 금성초등학교),본교,338,127.3500818,36.3893002,신성동
초,공립,유성구,남선초등학교,대전광역시 유성구 계백로93번길 277-29(송정동. 남선초등학교),본교,44,127.2646541,36.2873073,진잠동
초,공립,유성구,대덕초등학교,대전광역시 유성구 대덕대로556번길 102(도룡동),본교,641,127.3817273,36.3850882,신성동
초,공립,유성구,대덕초등학교도룡분교장,대전광역시 유성구 엑스포로97번길 100(도룡동),분교장,60,127.3913403,36.3787207,신성동
초,공립,유성구,대전계산초등학교,대전광역시 유성구 학하서로 74(계산동),본교,708,127.2993032,36.3438972,학하동
초,공립,유성구,대전관평초등학교,대전광역시 유성구 테크노4로 132(관평동),본교,414,127.3876376,36.4245116,관평동
초,공립,유성구,대전교촌초등학교,대전광역시 유성구 진잠로149번길 42(교촌동.대전교촌초등학교),본교,279,127.3167901,36.3060020,진잠동
초,공립,유성구,대전노은초등학교,대전광역시 유성구 노은동로99번길 35. 대전노은초등학교 (노은동.노은초등학교),본교,686,127.3212215,36.3689340,노은1동
초,공립,유성구,대전대정초등학교,대전광역시 유성구 대정로28번길 55   대전대정초등학교(대정동),본교,260,127.3232795,36.3152767,진잠동
초,공립,유성구,대전동화초등학교,대전광역시 유성구 관평2로 43(관평동. 대전동화초등학교),본교,688,127.3895368,36.4226468,관평동
초,공립,유성구,대전두리초등학교,대전광역시 유성구 와룡로 37(송강동) 대전두리초등학교,본교,491,127.3820834,36.4288090,구즉동
초,공립,유성구,대전둔곡초등학교,대전광역시 유성구 과학인재4길 10(둔곡동),본교,428,127.3646634,36.4534382,구즉동
초,공립,유성구,대전반석초등학교,대전광역시 유성구 반석동로 30(반석동.대전반석초등학교),본교,1030,127.3131023,36.3899585,노은3동
초,공립,유성구,대전배울초등학교,대전광역시 유성구 배울2로 8(관평동. 대전배울초등학교),본교,568,127.3841009,36.4218889,관평동
초,공립,유성구,대전복용초등학교,대전광역시 유성구 상대복용로65번길 36(복용동),본교,802,127.3276981,36.3350119,상대동
초,공립,유성구,대전봉명초등학교,대전광역시 유성구 계룡로132번길 62(봉명동),본교,684,127.3434709,36.3496096,원신흥동
초,공립,유성구,대전상대초등학교,대전광역시 유성구 월드컵대로 322(상대동. 상대초등학교),본교,634,127.3365151,36.3474262,상대동
초,공립,유성구,대전상원초등학교,대전광역시 유성구 상대서로 46. 대전상원초등학교 (상대동),본교,746,127.3333047,36.3424244,상대동
초,공립,유성구,대전상지초등학교,대전광역시 유성구 노은동로 165(지족동.대전상지초등학교),본교,466,127.3221130,36.3753649,노은1동
초,공립,유성구,대전새미래초등학교,대전광역시 유성구 지족로 168(지족동. 대전새미래초등학교),본교,948,127.3031653,36.3792934,노은3동
초,공립,유성구,대전송강초등학교,대전광역시 유성구 송강로42번길 6. 대전송강초등학교 (송강동),본교,289,127.3842040,36.4342453,구즉동
초,공립,유성구,대전송림초등학교,대전광역시 유성구 노은로410번길 123-14(하기동),본교,184,127.3323062,36.3888958,노은2동
초,공립,유성구,대전수정초등학교,대전광역시 유성구 노은서로 62(노은동. 대전수정초등학교),본교,146,127.3134568,36.3661138,노은1동
초,공립,유성구,대전어은초등학교,대전광역시 유성구 농대로 46(어은동),본교,510,127.3536946,36.3648963,온천2동
초,공립,유성구,대전용산초등학교,대전광역시 유성구 배울2로 101(용산동),본교,1126,127.3950763,36.4201335,관평동
초,공립,유성구,대전원신흥초등학교,대전광역시 유성구 원신흥로55번길 37(원신흥동. 대전원신흥초등학교),본교,243,127.3425185,36.3409794,원신흥동
초,공립,유성구,대전원신흥초등학교복용분교장,대전광역시 유성구 유성대로 600(상대동),분교장,669,127.3303713,36.3467430,상대동
초,공립,유성구,대전자운초등학교,대전광역시 유성구 자운로97번길 380(신봉동.자운초등학교),본교,357,127.3387617,36.4123998,신성동
초,공립,유성구,대전장대초등학교,대전광역시 유성구 문화원로19번길 16(장대동),본교,315,127.3395598,36.3615475,온천2동
초,공립,유성구,대전전민초등학교,대전광역시 유성구 엑스포로466번길 42(전민동.대전전민초등학교),본교,985,127.4069267,36.3985633,전민동
초,공립,유성구,대전죽동초등학교,대전광역시 유성구 죽동로 52(죽동) 죽동초등학교,본교,818,127.3356513,36.3704210,온천2동
초,공립,유성구,대전지족초등학교,대전광역시 유성구 노은서로 238(지족동),본교,426,127.3172754,36.3805555,노은2동
초,공립,유성구,대전하기초등학교,대전광역시 유성구 송림로19번길 32(하기동)대전하기초등학교,본교,348,127.3215859,36.3885740,노은2동
초,공립,유성구,덕송초등학교,대전광역시 유성구 현충원로 265(덕명동),본교,157,127.3019117,36.3611802,학하동
초,공립,유성구,문지초등학교,대전광역시 유성구 전민로 41(문지동),본교,339,127.3994116,36.3958310,전민동
초,공립,유성구,봉암초등학교,대전광역시 유성구 궁동로 21(궁동. 봉암초등학교),본교,37,127.3476616,36.3640974,온천2동
초,공립,유성구,외삼초등학교,대전광역시 유성구 반석동로 63(반석동.외삼초등학교),본교,580,127.3105126,36.3928996,노은3동
초,공립,유성구,유성초등학교,대전광역시 유성구 장대로71번길 12(장대동. 유성초등학교),본교,108,127.3337025,36.3624162,온천2동
초,공립,유성구,진잠초등학교,대전광역시 유성구 진잠로59번길 53. 진잠초등학교 (원내동. 진잠초등학교),본교,287,127.3151578,36.2991072,진잠동
초,공립,유성구,학하초등학교,대전광역시 유성구 진잠옛로 165. 학하초등학교 (학하동),본교,156,127.3122319,36.3343471,학하동
초,공립,유성구,흥도초등학교,대전광역시 유성구 원신흥남로 20(원신흥동. 흥도초등학교),본교,772,127.3387326,36.3341902,원신흥동
중,공립,대덕구,대전대화중학교,대전광역시 대덕구 대오길 9(오정동. 대화중학교),본교,205,127.4144954,36.3615056,오정동
중,공립,대덕구,대전매봉중학교,대전광역시 대덕구 선비마을로 165(송촌동.대전매봉중학교),본교,656,127.4360113,36.3693507,송촌동
중,공립,대덕구,대전법동중학교,대전광역시 대덕구 쌍청당로 55(법동),본교,364,127.4333447,36.3667155,법2동
중,공립,대덕구,대전송촌중학교,대전광역시 대덕구 계족산로 110(송촌동),본교,739,127.4433377,36.3639866,송촌동
중,공립,대덕구,대전용전중학교,대전광역시 대덕구 한밭대로1146번길 46. 대전용전중학교 (중리동),본교,271,127.4252389,36.3567180,중리동
중,공립,대덕구,신탄중앙중학교,대전광역시 대덕구 덕암로 233. 24 (덕암동),본교,265,127.4243139,36.4413849,덕암동
중,공립,대덕구,오정중학교,대전광역시 대덕구 한남로150번길 135(오정동. 오정중학교),본교,92,127.4078997,36.3510997,오정동
중,공립,대덕구,중리중학교,대전광역시 대덕구 중리동로 85(중리동. 대전중리중학교),본교,115,127.4274172,36.3665971,중리동
중,공립,대덕구,회덕중학교,대전광역시 대덕구 신탄진로218번길 22(와동. 대전회덕중학교),본교,111,127.4256826,36.4009441,회덕동
중,사립,대덕구,대전경덕중학교,대전광역시 대덕구 동산초교로63번길 12(오정동),본교,227,127.4230613,36.3498310,오정동
중,사립,대덕구,신탄진중학교,대전광역시 대덕구 석봉로 15. 신탄진중학교 (석봉동),본교,409,127.4225837,36.4475861,석봉동
중,공립,동구,대전가양중학교,대전광역시 동구 비래서로62번길 100(가양동. 대전가양중학교),본교,391,127.4486567,36.3508171,가양2동
중,공립,동구,대전가오중학교,대전광역시 동구 은어송로 79(가오동. 대전가오중학교),본교,531,127.4570942,36.3085690,효동
중,공립,동구,대전용운중학교,대전광역시 동구 용운로 208(용운동. 용운중학교),본교,405,127.4650305,36.3253321,용운동
중,공립,동구,대전은어송중학교,대전광역시 동구 동구청로 26(대성동. 대전은어송중학교),본교,733,127.4609474,36.3004121,산내동
중,공립,동구,동대전중학교,대전광역시 동구 충정로 73-6. 동대전중학교(가양동. 동대전중학교),본교,140,127.4559046,36.3451364,가양2동
중,공립,동구,동신중학교,대전광역시 동구 동부로 56-22(판암동. 동신중학교),본교,71,127.4596430,36.3200355,판암2동
중,공립,동구,충남중학교,대전광역시 동구 계족로 123(신흥동. 충남중학교),본교,792,127.4440635,36.3245875,신인동
중,공립,동구,한밭여자중학교,대전광역시 동구 동대전로110번길 74-57. 한밭여자중학교 (대동),본교,372,127.4489263,36.3299454,대동
중,공립,동구,한밭중학교,대전광역시 동구 태전로 67(삼성동),본교,74,127.4264779,36.3351481,삼성동
중,사립,동구,대전대성여자중학교,대전광역시 동구 대성2길 20(가양동),본교,184,127.4416481,36.3368783,가양1동
중,사립,동구,보문중학교,대전광역시 동구 우암로 57(삼성동. 보문중학교),본교,248,127.4239609,36.3365961,삼성동
중,사립,동구,우송중학교,대전광역시 동구 동대전로131번길 53(자양동) 우송중학교,본교,189,127.4433667,36.3348585,자양동
중,공립,중구,대전글꽃중학교,대전광역시 중구 계룡로918번길 103(문화동. 대전글꽃중학교),본교,890,127.4086577,36.3186225,문화1동
중,공립,중구,대전대문중학교,대전광역시 중구 송리로 33(문화동. 대전대문중학교),본교,78,127.4007655,36.3079485,문화2동
중,공립,중구,대전문화여자중학교,대전광역시 중구 문화로218번길 63. 대전문화여자중학교 (문화동),본교,146,127.4101816,36.3129522,문화1동
중,공립,중구,대전여자중학교,대전광역시 중구 보문로230번길 69. 대전여자중학교 (대흥동),본교,469,127.4263304,36.3248732,대흥동
중,공립,중구,대전중학교,대전광역시 중구 수도산로 9. 대전중학교 (대흥동. 대전중학교),본교,299,127.4254236,36.3209574,대흥동
중,공립,중구,대전태평중학교,대전광역시 중구 수침로111번길 12(태평동),본교,532,127.3973928,36.3294894,태평1동
중,공립,중구,충남여자중학교,대전광역시 중구 동서대로 1368(목동.충남여자중학교),본교,1006,127.4109427,36.3301968,목동
중,사립,중구,대전대성중학교,대전광역시 중구 목동로 23. (목동.대성중학교),본교,447,127.4074387,36.3325318,목동
중,사립,중구,대전동산중학교,대전광역시 중구 문화로 183(문화동),본교,267,127.4051186,36.3153785,문화1동
중,사립,중구,대전신일중학교,대전광역시 중구 부사로32번길 27(부사동.대전신일중학교),본교,300,127.4345299,36.3091404,부사동
중,사립,중구,대전중앙중학교,대전광역시 중구 대종로 634(중촌동),본교,276,127.4151938,36.3381487,중촌동
중,사립,중구,동명중학교,대전광역시 중구 사득로54번길 29. 동명중학교 (석교동),본교,119,127.4384320,36.3084918,석교동
중,사립,중구,청란여자중학교,대전광역시 중구 보문로95번길 40. 청란여자중학교 (부사동),본교,20,127.4296172,36.3109466,부사동
중,사립,중구,호수돈여자중학교,대전광역시 중구 선화로 50(용두동.호수돈여자중.고등학교),본교,324,127.4134650,36.3265502,은행선화동
중,공립,서구,가수원중학교,대전광역시 서구 가수원로 26(가수원동),본교,143,127.3548124,36.2982823,가수원동
중,공립,서구,갈마중학교,대전광역시 서구 계룡로326번길 138(갈마동.갈마중학교),본교,63,127.3646118,36.3474707,갈마1동
중,공립,서구,기성중학교,대전광역시 서구 장안로 54.(흑석동),본교,29,127.3411563,36.2499908,기성동
중,공립,서구,대전갑천중학교,대전광역시 서구 월평동로 80(월평동. 갑천중학교),본교,731,127.3691739,36.3619688,월평3동
중,공립,서구,대전관저중학교,대전광역시 서구 관저동로 143(관저동. 관저중학교),본교,828,127.3397644,36.3056354,관저1동
중,공립,서구,대전괴정중학교,대전광역시 서구 가장로 15(괴정동.대전괴정중학교),본교,555,127.3790856,36.3402017,괴정동
중,공립,서구,대전구봉중학교,대전광역시 서구 관저서로 86(관저동. 대전구봉중학교),본교,687,127.3301551,36.3004178,관저2동
중,공립,서구,대전남선중학교,대전광역시 서구 월평북로 41(월평동. 남선중학교),본교,160,127.3723060,36.3632381,월평2동
중,공립,서구,대전내동중학교,대전광역시 서구 배재로 263(변동),본교,498,127.3704150,36.3323785,변동
중,공립,서구,대전느리울중학교,대전광역시 서구 관저중로64번길 84(관저동),본교,760,127.3395222,36.2973786,관저2동
중,공립,서구,대전도마중학교,대전광역시 서구 도솔2길 22(도마동. 대전도마중학교),본교,174,127.3718715,36.3188315,도마2동
중,공립,서구,대전도안중학교,대전광역시 서구 원도안로 160(도안동. 대전도안중학교),본교,941,127.3451717,36.3181204,도안동
