Id,school_raw,school_short,purpose,차수,n_samples,length_m,sinuosity,slope_mean,slope_max,slope_pct_over_5deg,slope_pct_over_10deg,elevation_gain_m,dem_min_m,dem_max_m
3,산흥초등학교,산흥초,등교,1,147,1468.578523101958,1.0194330564883505,1.1980719566345215,5.67549991607666,1.3605442176870748,0.0,11.102409362792969,72.17426300048828,79.47139739990234
4,산흥초등학교,산흥초,등교,1,21,204.83403221482067,1.0006800918305159,1.6269724369049072,3.647761344909668,0.0,0.0,3.0786972045898438,79.2929916381836,82.37168884277344
5,산흥초등학교,산흥초,등교,1,53,526.3565999909583,1.1329586664084947,1.3860363960266113,3.179401397705078,0.0,0.0,7.303955078125,82.37168884277344,89.55486297607422
6,산흥초등학교,산흥초,등교,1,53,525.0112924498486,1.2869141587087327,1.4194886684417725,2.454099655151367,0.0,0.0,2.3724212646484375,86.93778991699219,89.595703125
7,산흥초등학교,산흥초,등교,1,440,4390.2147131649035,1.4441389056113763,2.338454484939575,14.006906509399414,10.227272727272728,2.727272727272727,57.852203369140625,82.85031127929688,112.19005584716797
8,산흥초등학교,산흥초,등교,1,407,4068.7159532589376,1.0912573958712126,8.977649688720703,45.6645622253418,50.859950859950864,30.46683046683047,165.77203369140625,111.6763687133789,211.0546875
10,산흥초등학교,산흥초,등교,2,101,1002.2400125629315,1.0801332518052351,2.3132643699645996,5.800412654876709,4.9504950495049505,0.0,11.232528686523438,162.68911743164062,172.413330078125
11,산흥초등학교,산흥초,등교,2,35,345.4761726290198,1.2413699022411573,2.1408843994140625,7.126659870147705,5.714285714285714,0.0,7.470245361328125,172.413330078125,177.17303466796875
12,산흥초등학교,산흥초,등교,2,135,1347.6829593001992,1.1555369117551981,2.278959035873413,8.133575439453125,6.666666666666667,0.0,4.9766998291015625,162.68911743164062,177.20944213867188
1,산흥초등학교,산흥초,하교,1,101,1002.0423530460318,1.0799202303592115,2.2152016162872314,5.800412654876709,2.9702970297029703,0.0,10.957351684570312,162.68911743164062,172.413330078125
2,산흥초등학교,산흥초,하교,1,35,345.45622664010915,1.2412982320298207,2.1408843994140625,7.126659870147705,5.714285714285714,0.0,7.470245361328125,172.413330078125,177.17303466796875
