연번,구분,구,구역명,유형,주소,면적_m2,세대수,추진현황,추진일자,촉진지구,추진지구,비고,상태,단계_순서,통학영향_임박도,전체주소,lat,lon,지오코딩방식,오류
18,재개발,동구,신흥동5,,신흥동 23-1,92493.0,1437.0,구역지정,26.03.24.,True,신흥,,진행,2,5_초기,대전광역시 동구 신흥동 23-1,36.32163337104869,127.44791896357498,parcel,
19,재개발,중구,선화,,선화동 339-55,52737.3,997.0,준공,25.04.29.,True,선화·용두,,완료,8,0_완료,대전광역시 중구 선화동 339-55,36.32855233187327,127.41466010264712,parcel,
20,재개발,중구,선화B,,선화동 207-16,46384.9,862.0,준공,24.02.28.,True,선화·용두,,완료,8,0_완료,대전광역시 중구 선화동 207-16,,,실패,"parcel=NOT_FOUND, road=NOT_FOUND"
21,재개발,중구,용두동3,,용두동 53-31,106584.0,1991.0,조합설립인가,24.06.07.,True,선화·용두,,진행,4,4_조합설립,대전광역시 중구 용두동 53-31,36.32753513468843,127.41263572244566,parcel,
22,재개발,중구,대사동1,,대사동 167-4,64661.0,1080.0,사업시행인가,23.06.30.,False,,,진행,5,3_사업시행,대전광역시 중구 대사동 167-4,36.31438914733353,127.42686262454703,parcel,
23,재개발,중구,대사동3,,대사동 250-14,37103.0,,,,False,,,진행,0,9_미정,대전광역시 중구 대사동 250-14,36.31697239857333,127.4189047605795,parcel,
24,재개발,중구,대사동4,,대사동 78-10,20758.0,,,,False,,,진행,0,9_미정,대전광역시 중구 대사동 78-10,36.31435310230111,127.42203588800481,road,
25,재개발,중구,대흥동1,,대흥동 112-9,55878.0,862.0,조합설립인가,20.10.26.,False,,,진행,4,4_조합설립,대전광역시 중구 대흥동 112-9,36.31879249588802,127.42427138700532,parcel,
26,재개발,중구,대흥2,,대흥동 385-15,59688.0,1278.0,착공,24.07.01.,False,,,진행,7,1_공사중,대전광역시 중구 대흥동 385-15,36.32055552723618,127.427094919429,parcel,
27,재개발,중구,대흥4,,대흥동 260-9,51054.0,909.0,관리처분인가,24.12.31.,False,,,진행,6,2_관리처분,대전광역시 중구 대흥동 260-9,,,실패,"parcel=NOT_FOUND, road=NOT_FOUND"
28,재개발,중구,문화동5,,문화동 284-46,12121.0,,,,False,,,진행,0,9_미정,대전광역시 중구 문화동 284-46,36.31401736468892,127.40518540404972,parcel,
29,재개발,중구,문화동7,,문화동 372-13,24268.0,,,,False,,,진행,0,9_미정,대전광역시 중구 문화동 372-13,36.31458001186204,127.40402046366937,parcel,
30,재개발,중구,문화동8,,문화동 435-42,100589.3,1746.0,착공,24.04.05.,False,,,진행,7,1_공사중,대전광역시 중구 문화동 435-42,36.31051104105946,127.40598300577389,parcel,
31,재개발,중구,문화2,,문화동 330,39287.0,749.0,착공,23.03.,False,,,진행,7,1_공사중,대전광역시 중구 문화동 330,36.31734389995247,127.40470976509502,parcel,
32,재개발,중구,부사동4,,부사동 244-3,55795.0,826.0,사업시행인가,24.11.08.,False,,,진행,5,3_사업시행,대전광역시 중구 부사동 244-3,36.313201040903316,127.42938336326525,parcel,
33,재개발,중구,부사동5,,부사동 424-35,40261.0,,,,False,,,진행,0,9_미정,대전광역시 중구 부사동 424-35,36.30961950658321,127.43039559584778,parcel,
34,재개발,중구,산성동1,,산성동 109-1,53153.0,968.0,조합설립인가,25.03.27.,False,,,진행,4,4_조합설립,대전광역시 중구 산성동 109-1,36.310213048352765,127.39496242656682,parcel,
35,재개발,중구,산성동2,,산성동 133-24,93991.7,1665.0,사업시행인가,25.12.19.,False,,,진행,5,3_사업시행,대전광역시 중구 산성동 133-24,36.31134709846114,127.39101857909043,parcel,
36,재개발,중구,옥계동2,,옥계동 173-168,110402.6,1508.0,조합설립인가,22.08.10.,False,,,진행,4,4_조합설립,대전광역시 중구 옥계동 173-168,36.29619269074302,127.45308265897707,parcel,
37,재개발,중구,용두동1,,용두동 167-9,22166.0,474.0,준공,24.07.30.,False,,,완료,8,0_완료,대전광역시 중구 용두동 167-9,,,실패,"parcel=NOT_FOUND, road=NOT_FOUND"
38,재개발,중구,용두동2,,용두동 182-72,42440.0,794.0,관리처분인가,23.06.30.,False,,,진행,6,2_관리처분,대전광역시 중구 용두동 182-72,36.33493287980316,127.40225464318948,parcel,
39,재개발,중구,태평동2,,태평동 263-5,38588.0,667.0,조합설립인가,21.03.18.,False,,,진행,4,4_조합설립,대전광역시 중구 태평동 263-5,36.32583816710435,127.4012792305835,parcel,
40,재개발,중구,선화1,,선화동 235-35,55158.0,1340.0,구역지정,14.03.07.,False,,,진행,2,5_초기,대전광역시 중구 선화동 235-35,,,실패,"parcel=NOT_FOUND, road=NOT_FOUND"
41,재개발,중구,선화1-A,,선화동 63,28810.0,602.0,추진위원회,08.04.17.,False,,,진행,3,5_초기,대전광역시 중구 선화동 63,36.32835688372036,127.42428159818579,parcel,
42,재개발,중구,선화2,,선화동 136-2,59311.9,1536.0,관리처분인가,22.05.11.,False,,,진행,6,2_관리처분,대전광역시 중구 선화동 136-2,36.33227746143966,127.42051577199015,parcel,
43,재개발,중구,은행1,,은행동 1-1,83119.7,2580.0,사업시행인가,25.03.12.,False,,,진행,5,3_사업시행,대전광역시 중구 은행동 1-1,36.33234167721457,127.4249628295571,parcel,
44,재개발,중구,오류동1,,오류동 179-2,18370.0,312.0,사업시행인가,25.04.21.,False,,,진행,5,3_사업시행,대전광역시 중구 오류동 179-2,36.32620587586574,127.40361697390095,parcel,
45,재개발,중구,유천동1,,유천동 127-27,98048.0,1550.0,구역지정,25.02.27.,False,,,진행,2,5_초기,대전광역시 중구 유천동 127-27,36.31845942541152,127.40231436671775,parcel,
46,재개발,중구,유천동3,,유천동 276-1,95309.0,1588.0,조합설립인가,24.04.24.,False,,,진행,4,4_조합설립,대전광역시 중구 유천동 276-1,36.313092333593275,127.39502815277345,parcel,
47,재개발,중구,호동,,호동 19-7,37057.9,644.0,조합설립인가,24.10.14.,False,,,진행,4,4_조합설립,대전광역시 중구 호동 19-7,36.30376261743067,127.44815768749336,parcel,
48,재개발,중구,문창동2,,문창동 5-1,85151.0,1306.0,조합설립인가,25.09.12.,False,,,진행,4,4_조합설립,대전광역시 중구 문창동 5-1,36.319164630858666,127.43512827072853,parcel,
49,재개발,중구,문창석교1,,문창동 382-6,72796.3,1224.0,추진위원회,25.01.21.,False,,,진행,3,5_초기,대전광역시 중구 문창동 382-6,36.31280501255836,127.43735227141796,parcel,
50,재개발,서구,도마·변동1,,가장동 38-1,105527.5,1779.0,착공,23.12.28.,True,도마·변동,,진행,7,1_공사중,대전광역시 서구 가장동 38-1,36.3296227136437,127.38317689934233,parcel,
51,재개발,서구,도마·변동2,,변동 3-4,69677.6,1074.0,조합설립인가,22.11.11.,True,도마·변동,,진행,4,4_조합설립,대전광역시 서구 변동 3-4,36.3266876665669,127.38628206647084,parcel,
52,재개발,서구,도마·변동3,,변동 9-4,192992.0,3404.0,관리처분인가,23.03.31.,True,도마·변동,,진행,6,2_관리처분,대전광역시 서구 변동 9-4,36.32610737237103,127.38358531420702,parcel,
53,재개발,서구,도마·변동4,,변동 63-5,182001.0,3045.0,사업시행인가,24.12.05.,True,도마·변동,,진행,5,3_사업시행,대전광역시 서구 변동 63-5,36.323023752134,127.37970212884196,parcel,
54,재개발,서구,도마·변동5,,도마동 85-19,157548.0,2622.0,사업시행인가,24.04.30.,True,도마·변동,,진행,5,3_사업시행,대전광역시 서구 도마동 85-19,36.319720356479785,127.38271701011945,parcel,
55,재개발,서구,도마·변동6,,도마동 86-66,28958.0,528.0,관리처분인가,25.03.17.,True,도마·변동,,진행,6,2_관리처분,대전광역시 서구 도마동 86-66,36.31821646945582,127.38300921514347,parcel,
56,재개발,서구,도마·변동6-1,,도마동 96-26,68005.9,1110.0,조합설립인가,24.01.29.,True,도마·변동,,진행,4,4_조합설립,대전광역시 서구 도마동 96-26,36.31848581033596,127.37951297739275,parcel,
57,재개발,서구,도마·변동8,,도마동 179-30,102743.0,1881.0,준공,22.07.28.,True,도마·변동,,완료,8,0_완료,대전광역시 서구 도마동 179-30,,,실패,"parcel=NOT_FOUND, road=NOT_FOUND"
58,재개발,서구,도마·변동9,,도마동 181-1,44014.0,818.0,착공,23.11.13.,True,도마·변동,,진행,7,1_공사중,대전광역시 서구 도마동 181-1,36.31168172764688,127.38264314432948,parcel,
59,재개발,서구,도마·변동11,,도마동 145-8,76129.0,1558.0,준공,26.01.07.,True,도마·변동,준공전 사용허가 25.01.22,완료,8,0_완료,대전광역시 서구 도마동 145-8,36.31419880402473,127.37846572347121,parcel,
60,재개발,서구,도마·변동12,,도마동 165-1,99920.5,1593.0,사업시행인가,25.10.02.,True,도마·변동,,진행,5,3_사업시행,대전광역시 서구 도마동 165-1,36.31284140183206,127.37512823823337,parcel,
