학교급,설립,구,학교명,주소,구분,학생수합계,lon,lat,동,slope_point,slope_300m_mean,slope_300m_max,운영상태,도심거리_km,학교밀도_2km,y_운영12
초,공립,중구,대전옥계초등학교,대전광역시 중구 모암로 35. 대전옥계초등학교 (옥계동. 대전옥계초등학교),본교,109,127.4483618,36.3009946,석교동,3.244868755340576,11.453524589538574,37.97206497192383,미운영,7.93010943524632,5,0
초,공립,중구,대전원평초등학교,대전광역시 중구 계백로1615번길 46. 대전원평초등학교 (유천동),본교,257,127.3999032,36.3216702,유천2동,0.3116838037967682,0.8390199542045593,8.066808700561523,미운영,3.473638765276056,19,0
초,공립,중구,대전유평초등학교,대전광역시 중구 수침로 123(태평동),본교,215,127.3974668,36.3300035,태평1동,0.0943930298089981,1.6955091953277588,18.871362686157227,미운영,2.5441090763576795,18,0
초,공립,중구,대전중앙초등학교,대전광역시 중구 선화로43번길 99(선화동. 대전중앙초등학교),본교,1082,127.4141355,36.3307172,은행선화동,1.281569480895996,4.516447067260742,28.200761795043945,미운영,3.440812490267986,19,0
초,공립,중구,대전중촌초등학교,대전광역시 중구 대종로 684(중촌동.대전중촌초등학교),본교,262,127.41106,36.3412467,중촌동,0.3697707951068878,1.9919159412384035,16.313533782958984,미운영,2.5905460551436517,18,0
초,공립,중구,대전태평초등학교,대전광역시 중구 유천로 117(태평동. 대전태평초등학교),본교,415,127.3950265,36.3229254,태평2동,0.1957578063011169,0.7610064148902893,5.76942253112793,미운영,3.1905704480469237,18,0
초,공립,중구,산서초등학교,대전광역시 중구 남달미로 87(목달동. 산서초등학교),본교,57,127.4093374,36.2668849,산성동,1.8409348726272583,6.093221187591553,34.606292724609375,운영,9.52811554217957,0,1
초,공립,중구,서대전초등학교,대전광역시 중구 선화로 17(용두동.서대전초등학교),본교,214,127.41044,36.3259585,용두동,0.6205306053161621,3.3628742694854736,26.02591896057129,미운영,3.5733747123994597,18,0
초,사립,중구,대전성모초등학교,대전광역시 중구 대흥로 62(대흥동. 대전성모초등학교),본교,658,127.4193093,36.32246,대흥동,0.3713465929031372,3.697547912597656,37.70171356201172,미운영,4.400385031959023,14,0
초,공립,서구,가수원초등학교,대전광역시 서구 벌곡로 1359(가수원동. 가수원초등학교),본교,258,127.3533137,36.3031409,가수원동,3.337491035461426,2.801133871078491,26.392478942871094,미운영,5.942541483147096,10,0
초,공립,서구,기성초등학교,대전광역시 서구 기성초교길 42(매노동),본교,33,127.3380289,36.2487568,기성동,7.413033008575439,8.7347412109375,37.80142593383789,운영,12.021612286114168,0,1
초,공립,서구,기성초등학교길헌분교장,대전광역시 서구 당고개길 48(평촌동. 기성초등학교 길헌분교장),분교장,7,127.3164705,36.241768,기성동,5.164791107177734,8.445597648620605,31.72289276123047,운영,13.509344183861653,0,1
초,공립,서구,대전가장초등학교,대전광역시 서구 가장로 150(가장동. 대전가장초등학교),본교,493,127.3887528,36.3305,가장동,0.4688729345798492,1.5154697895050049,15.319396018981934,미운영,2.2400788610164413,16,0
초,공립,서구,대전갈마초등학교,대전광역시 서구 월평동로 2(갈마동. 갈마초등학교),본교,233,127.3693227,36.3559583,갈마1동,0.238624095916748,3.8057475090026855,34.63504409790039,미운영,1.494835751672466,10,0
초,공립,서구,대전갑천초등학교,대전광역시 서구 월평동로 61(월평동. 대전갑천초등학교),본교,426,127.3676786,36.3608614,월평3동,0.9681603312492372,1.022899508476257,8.880819320678711,미운영,1.903763199513856,10,0
초,공립,서구,대전관저초등학교,대전광역시 서구 관저동로 161(관저동. 관저초등학교),본교,331,127.3398901,36.3065734,관저1동,2.403757333755493,2.56880521774292,19.701221466064453,미운영,6.2978519993803745,11,0
초,공립,서구,대전구봉초등학교,대전광역시 서구 관저로 75대전구봉초등학교,본교,586,127.3301054,36.2997236,관저2동,0.9428161382675172,2.1584651470184326,17.731578826904297,미운영,7.4453322898368,9,0
초,공립,서구,대전금동초등학교,대전광역시 서구 관저로 45(관저동.대전금동초등학교),본교,672,127.3262661,36.2981969,관저2동,0.138801023364067,1.6164432764053345,12.284043312072754,미운영,7.80061452796388,9,0
초,공립,서구,대전내동초등학교,대전광역시 서구 동서대로1063번길 13(내동.내동초등학교),본교,705,127.3792468,36.3311179,내동,0.840176522731781,2.316295623779297,25.099151611328125,미운영,2.1901280613177034,14,0
초,공립,서구,대전느리울초등학교,대전광역시 서구 관저로 196(관저동. 대전느리울초등학교),본교,591,127.3439214,36.2985384,관저2동,1.79593026638031,5.5866289138793945,36.690879821777344,미운영,6.808626054427571,9,0
초,공립,서구,대전도마초등학교,대전광역시 서구 배재로172번길 23(도마동.도마초등학교),본교,451,127.3719168,36.3242933,도마1동,2.586244821548462,5.509891986846924,39.965797424316406,미운영,3.1081750037355587,10,0
초,공립,서구,대전도솔초등학교,대전광역시 서구 원도안로 80. 대전도솔초등학교 (도안동),본교,1141,127.3475014,36.3111845,도안동,1.4927562475204468,5.476590156555176,50.96194076538086,미운영,5.4724270892170335,9,0
초,공립,서구,대전도안초등학교,대전광역시 서구 원도안로 200(도안동. 도안초등학교),본교,934,127.344685,36.3217137,도안동,1.940973162651062,4.77357816696167,31.34623146057129,미운영,4.784557709174817,5,0
초,공립,서구,대전둔산초등학교,대전광역시 서구 둔산로74번길 20(둔산동.둔산초등학교),본교,407,127.3814036,36.3499471,둔산2동,0.8293883204460144,1.558323621749878,18.788501739501957,미운영,0.2823377862625501,15,0
초,공립,서구,대전둔원초등학교,대전광역시 서구 대덕대로 112-10(갈마동),본교,540,127.3742794,36.3436193,,5.65446662902832,5.136187076568604,29.600292205810547,미운영,1.1860756591956525,9,0
초,공립,서구,대전둔천초등학교,대전광역시 서구 만년로 3. 대전둔천초등학교 (만년동),본교,194,127.3740023,36.3684922,만년동,0.5839868187904358,2.049538373947144,17.37298583984375,미운영,2.2168282210980057,9,0
초,공립,서구,대전만년초등학교,대전광역시 서구 만년남로 14(만년동. 만년초등학교),본교,159,127.3773117,36.3671306,만년동,2.488266468048096,1.4581283330917358,24.473966598510746,미운영,1.9646492951202443,9,0
초,공립,서구,대전문정초등학교,대전광역시 서구 문정로 180. 문정초등학교 (둔산동),본교,460,127.3958379,36.3505437,둔산3동,0.2119959741830825,1.947413802146912,9.110429763793944,미운영,1.017443535502736,13,0
초,공립,서구,대전백운초등학교,대전광역시 서구 계룡로576번길 56(괴정동. 대전백운초등학교),본교,664,127.3850093,36.3405387,괴정동,1.2409095764160156,3.4532389640808105,25.16551780700684,미운영,1.09478130597151,14,0
